,3161,Female,20,Philippines,Filipino,08/10/2016,11/12/2017,JFINEX-PUP,Gen-Z 16-21 Philippines,184,184 - Which 3 statements do you believe the most strongly in?,Free education should be available to all,29/09/2017
,3161,Female,20,Philippines,Filipino,08/10/2016,11/12/2017,JFINEX-PUP,Gen-Z 16-21 Philippines,184,184 - Which 3 statements do you believe the most strongly in?,People should be able to marry whoever they want,29/09/2017
,3161,Female,20,Philippines,Filipino,08/10/2016,11/12/2017,JFINEX-PUP,Gen-Z 16-21 Philippines,184,184 - Which 3 statements do you believe the most strongly in?,We need to find a more sustainable and environmentally friendly way to live,29/09/2017
,3161,Female,20,Philippines,Filipino,08/10/2016,11/12/2017,JFINEX-PUP,Gen-Z 16-21 Philippines,185,"185 - 100 years from now, what will your generation be most remembered for? ",millenials,29/09/2017
,3161,Female,20,Philippines,Filipino,08/10/2016,11/12/2017,JFINEX-PUP,Gen-Z 16-21 Philippines,186,"186 - If you were given $100 today, what would you do with it?",put it in my bank,29/09/2017
,3161,Female,20,Philippines,Filipino,08/10/2016,11/12/2017,JFINEX-PUP,Philips,263,263 - Do you think a career with Philips would be likely to be exciting and satisfying for you?,No,16/10/2017
,3161,Female,20,Philippines,Filipino,08/10/2016,11/12/2017,JFINEX-PUP,Philips,264,264 - What is your impression of Philips as an employer?,not quite familiar,16/10/2017
,3161,Female,20,Philippines,Filipino,08/10/2016,11/12/2017,JFINEX-PUP,Philips,265,"265 - If the pay and job content were the same, would you prefer to work at Philips or Siemens?",I would be happy to work at both Siemens and Philips,16/10/2017
,3161,Female,20,Philippines,Filipino,08/10/2016,11/12/2017,JFINEX-PUP,Profiling Global,1,1 - What is the highest level of education you have received?,Currently studying at University,14/09/2017
,3161,Female,20,Philippines,Filipino,08/10/2016,11/12/2017,JFINEX-PUP,Profiling Global,2,2 - What is your occupation?,Full time student,14/09/2017
,3161,Female,20,Philippines,Filipino,08/10/2016,11/12/2017,JFINEX-PUP,Profiling Global,3,3 - When do you plan to finish school and begin work?,2018,14/09/2017
,3161,Female,20,Philippines,Filipino,08/10/2016,11/12/2017,JFINEX-PUP,Profiling Global,5,5 - Which of the following best describes your current living status?,Live at family home,14/09/2017
